dataset,algorithm,rt,centr,knn,ogf
CAFs,pca,0.605279151238786,0.22131096805262437,0.6021165151277351,0.5077057873867201
CellMix,pca,1.006354270954652,0.917811249244761,0.7756355498667232,0.8688591549832149
Duo4eq,pca,0.597613260740536,1.2660613898408293,-1.6624531895000447,-0.36530793210468104
Duo8eq,pca,0.574264195260691,1.2080196997414863,-1.5765853478601028,-0.3427217001795071
FMNIST,pca,1.844107019700432,1.2185727343050023,-1.9430877177519175,-0.20587392037460017
Kang,pca,0.8140129033391376,-0.9043267241537499,-0.7545566098195144,-0.3998567601134103
MNIST,pca,-1.2765397928757645,0.419180366118572,-2.5117588834956988,-1.4702192984371476
Muraro,pca,0.101557369115293,0.19643595801004726,-1.0695469456552789,-0.46027514104630435
TMLung,pca,1.366265295782536,0.44518605843581144,0.40778286098746686,0.6567542690483203
TMPanc,pca,1.597988300902815,1.3406864199685589,-0.19037909615949927,0.6394791321380938
CAFs,tsne,0.4112391264572506,1.788436600734933,0.9466524981696604,1.0232451808828762
CellMix,tsne,-0.05545349373580239,-0.8234394537355822,1.005475714786575,0.2830146205254413
Duo4eq,tsne,-0.9809106354412817,-1.3458146646296851,-0.4241485258503541,-0.7937555879429188
Duo8eq,tsne,-0.9324652955000999,-0.20156420267117353,-0.27199673627782556,-0.41950574268173113
FMNIST,tsne,-0.13431940239603296,0.5853906604939686,0.09393434345755491,0.15973498625326138
Kang,tsne,0.10987401148100048,-0.9773861942088694,0.6865638747724799,0.12640389170427274
MNIST,tsne,-2.0249001459857485,-0.14276872438872074,0.8506726964213166,-0.11658086938295903
Muraro,tsne,-0.7260482362029547,-1.9801274207153812,0.7787260975083029,-0.2871808654754325
TMLung,tsne,0.5722203499560392,-0.1891266976498854,0.7796806366846905,0.48561373141888364
TMPanc,tsne,-0.3957012247690331,0.07206090779716605,0.8888069527430554,0.363493397128561
CAFs,umap,0.4032648788634907,0.7436861789467273,0.9886690814674559,0.7810723051862825
CellMix,umap,-1.1074681275654288,-1.6940648052257534,1.005475714786575,-0.19764537580450803
Duo4eq,umap,-1.02204946509625,-2.912940297311994,-0.5205615410250264,-1.2440282111145742
Duo8eq,umap,-1.553359832647891,-0.015001627351850816,-0.3081516169683272,-0.546166173484099
FMNIST,umap,-0.3422199352491131,0.6407940919524336,-0.36488770653342234,-0.10780031409088103
Kang,umap,-0.4728600604976198,-1.6244843575542116,0.692581079301048,-0.1780455648624339
MNIST,umap,-2.1747262841342705,0.28462917543372734,0.8177523432653511,-0.06364810554246025
Muraro,umap,-1.8241477125237708,-1.2836271395232446,0.7708162271381326,-0.3915355994426875
TMLung,umap,-0.16300645173516337,-1.1592520893103624,0.7265523830136583,0.03271155624544769
TMPanc,umap,-0.607459345389093,-0.15181418258602103,0.851306279229067,0.235834757620755
CAFs,pacmap,0.6451503892075938,0.7436861789467273,0.9550558148292203,0.8247370494531905
CellMix,pacmap,0.7346363858837953,0.0471858977545898,1.005475714786575,0.6981934283028838
Duo4eq,pacmap,0.3733351623898916,0.22131096805262437,-0.41812271240193744,-0.06039982359033971
Duo8eq,pacmap,0.35189214307166516,0.7519778489609188,-0.23734830894942774,0.15729334353343216
FMNIST,pacmap,-0.21335604350378237,0.4666690216543999,-0.5033594792077315,-0.18835149506621138
Kang,pacmap,0.5934993335243807,-0.8495321216124105,0.7445869184408133,0.30828526219839913
MNIST,pacmap,-2.2673208675762906,-0.6493143834375477,0.8473204933584378,-0.3054985660742407
Muraro,pacmap,-0.13085052005033074,-1.6940648052257534,0.7760894740515804,-0.06818409429323086
TMLung,pacmap,0.22911450916681114,0.22131096805262437,0.7132703195958996,0.4692415291028087
TMPanc,pacmap,-0.5841747387648965,0.07206090779716605,0.8304725717212963,0.28720782811871554
CAFs,$\alpha = $0.25,0.5751542158845749,0.7436861789467273,0.6273264651064128,0.6433733312610319
CellMix,$\alpha = $0.25,1.036231619343631,0.7436861789467273,0.7252596233089472,0.8076092612270631
Duo4eq,$\alpha = $0.25,0.5382081553700394,1.2660613898408293,-1.6202724953611256,-0.35906886137784566
Duo8eq,$\alpha = $0.25,0.5647339644525896,1.2080196997414863,-1.5193401201001413,-0.31648164400155165
FMNIST,$\alpha = $0.25,1.8507047349540096,1.2423170620729171,-1.8824902008460276,-0.16798965116628217
Kang,$\alpha = $0.25,0.751203242886352,-0.9408564591813092,-0.6844991570940464,-0.38966288262076254
MNIST,$\alpha = $0.25,-1.2880404805911334,0.3954360383506581,-2.4134275936512477,-1.4298649073857428
Muraro,$\alpha = $0.25,0.08626737640702756,0.22131096805262437,-1.2725669518230334,-0.5593888897966037
TMLung,$\alpha = $0.25,1.3676657277857576,0.5198110885635402,0.40778286098746686,0.6757606345810578
TMPanc,$\alpha = $0.25,1.5632810570667446,1.3406864199685589,-0.10704426612841342,0.6724697361946191
CAFs,$\alpha = $0.5,0.5964188761346058,0.7436861789467273,0.786989481638037,0.7285210045893518
CellMix,$\alpha = $0.5,0.24614173972402983,-0.6493143834375477,0.9960302285569913,0.39722195335011623
Duo4eq,$\alpha = $0.5,0.3952546932485232,0.22131096805262437,-1.5359111070832883,-0.6138141382163572
Duo8eq,$\alpha = $0.5,0.5536153618431355,1.2287488747769657,-1.3099431027676511,-0.20938049222880029
FMNIST,$\alpha = $0.5,1.5481433012443289,1.1710840787691745,-1.4915717513595226,-0.06597903067638544
Kang,$\alpha = $0.5,0.5345869535903095,-1.1965646043742268,0.3113481923839292,-0.009820316504014742
MNIST,$\alpha = $0.5,-1.5634769668365907,0.4983281253449518,-1.6756850580438005,-1.10412973939481
Muraro,$\alpha = $0.5,0.10072336951302424,-0.8483144637781586,0.7312668752872711,0.17873566407735197
TMLung,$\alpha = $0.5,0.9937503829256609,0.18399845298875914,0.2882442902276446,0.4385593540924273
TMPanc,$\alpha = $0.5,1.2755184657677021,1.1541238446492361,0.3721310065503268,0.7934760808793979
CAFs,$\alpha = $0.75,0.6176835363846367,0.7436861789467273,0.9886690814674559,0.834676969566569
CellMix,$\alpha = $0.75,-0.9026423058321138,-1.3458146646296851,1.005475714786575,-0.059376385222162265
Duo4eq,$\alpha = $0.75,-0.40290213692994725,-1.3458146646296851,-0.8082941331869372,-0.8413262669833768
Duo8eq,$\alpha = $0.75,-1.1329178168304943,0.171560947967471,-0.8549941874121685,-0.66783631092184
FMNIST,$\alpha = $0.75,0.12536594496107747,0.7753452826372783,-0.5309506890329664,-0.04029753761689425
Kang,$\alpha = $0.75,-0.24577549445944705,-1.6192658239788462,0.6818360712143188,-0.12534229400241392
MNIST,$\alpha = $0.75,-2.059855348915754,0.30837350320164125,0.7747753809207479,-0.05048277096815418
Muraro,$\alpha = $0.75,-1.5027798657827902,-1.4577522098212783,0.7787260975083029,-0.3507699701468657
TMLung,$\alpha = $0.75,-0.013160227390481019,-0.8980644838633111,0.6202958756715947,0.08234176002234933
TMPanc,$\alpha = $0.75,-0.1514325213151901,0.1466859379248948,0.8263058302197424,0.41196626926229735
