algorithm,dataset,ogf
pca,CAFs,0.6109630937145297
pca,CellMix,0.9046796289580736
pca,Duo4eq,-0.6164678212293582
pca,Duo8eq,-0.5817119525366998
pca,FMNIST,-0.1466521597981869
pca,Kang,-0.0180185369222264
pca,MNIST,-2.009746062679208
pca,Muraro,-0.543417272891483
pca,TMLung,0.8853554847687619
pca,TMPanc,0.6776796972303853
tsne,CAFs,0.700384996576742
tsne,CellMix,0.4994951726164586
tsne,Duo4eq,-0.7343645656300642
tsne,Duo8eq,-0.6279999467622767
tsne,FMNIST,-0.0323548668015903
tsne,Kang,0.4096038223572315
tsne,MNIST,-0.5660336994485375
tsne,Muraro,0.0426453707341473
tsne,TMLung,0.6904241009799791
tsne,TMPanc,0.2668224140136388
umap,CAFs,0.7191120773174717
umap,CellMix,-0.0249957686649521
umap,Duo4eq,-0.806969274937669
umap,Duo8eq,-0.9570877289447316
umap,FMNIST,-0.383919582023068
umap,Kang,0.122328000591662
umap,MNIST,-0.6585185771069205
umap,Muraro,-0.509095484571861
umap,TMLung,0.2951638070587931
umap,TMPanc,0.1409859414747788
pacmap,CAFs,0.8215440099596467
pacmap,CellMix,0.893401275566839
pacmap,Duo4eq,-0.0559377668440333
pacmap,Duo8eq,0.0310489916076851
pacmap,FMNIST,-0.3944934711543574
pacmap,Kang,0.6820708243069826
pacmap,MNIST,-0.6887059217188094
pacmap,Muraro,0.3379616699887782
pacmap,TMLung,0.4834824211571739
pacmap,TMPanc,0.1413376596862764
$\alpha$* = 0.7,CAFs,0.8656454639506082
$\alpha$* = 0.05,CellMix,0.9229219759732089
$\alpha$* = 0.0,Duo4eq,-0.6142505112563441
$\alpha$* = 0.45,Duo8eq,-0.4370043292432631
$\alpha$* = 0.45,FMNIST,-0.05034649301151706
$\alpha$* = 0.55,Kang,0.43561567040808147
$\alpha$* = 0.75,MNIST,-0.6259252179702208
$\alpha$* = 0.45,Muraro,0.46595274518656726
$\alpha$* = 0.1,TMLung,0.9021122227672755
$\alpha$* = 0.5,TMPanc,0.8188779036146022
