alpha,rt,ct,knn
0.0,0.7577388255915863,0.7968253968253968,0.6551270815074496
0.01,0.7569500438212095,0.7968253968253968,0.6551270815074496
0.02,0.7556529360210341,0.7968253968253968,0.6546888694127958
0.03,0.7572129710780018,0.7968253968253968,0.6538124452234881
0.04,0.7570201577563541,0.7968253968253968,0.6551270815074496
0.05,0.754373356704645,0.7968253968253968,0.6538124452234881
0.06,0.7552322524101666,0.7952380952380952,0.6538124452234881
0.07,0.7572655565293602,0.7952380952380952,0.6538124452234881
0.08,0.7574233128834356,0.7952380952380952,0.6489921121822962
0.09,0.756213847502191,0.7952380952380952,0.6476774758983348
0.1,0.753321647677476,0.7968253968253968,0.6454864154250657
0.11,0.7564417177914111,0.7968253968253968,0.6450482033304119
0.12,0.7545311130587204,0.7952380952380952,0.6468010517090271
0.13,0.7550043821209466,0.7952380952380952,0.6498685363716039
0.14,0.752988606485539,0.7952380952380952,0.654250657318142
0.15,0.752287467134093,0.7952380952380952,0.647239263803681
0.16,0.7572830850131463,0.7952380952380952,0.6481156879929886
0.17,0.7543032427695004,0.7952380952380952,0.6450482033304119
0.18,0.7534268185801929,0.7968253968253968,0.6375985977212971
0.19,0.7541980718667836,0.7984126984126985,0.6314636283961438
0.2,0.7516564417177914,0.7952380952380952,0.6248904469763366
0.21,0.7521472392638036,0.7936507936507936,0.6205083260297984
0.22,0.7557756354075373,0.7952380952380952,0.6170026292725679
0.23,0.7514636283961437,0.7952380952380952,0.6134969325153374
0.24,0.7561612620508326,0.7968253968253968,0.6240140227870289
0.25,0.7512532865907099,0.8,0.621384750219106
0.26,0.7532690622261174,0.8,0.6174408413672218
0.27,0.7557055214723926,0.8031746031746032,0.6288343558282209
0.28,0.7517090271691498,0.8,0.626205083260298
0.29,0.7573707274320771,0.8031746031746032,0.6323400525854513
0.3,0.7564767747589835,0.8063492063492064,0.6468010517090271
0.31,0.7582296231375987,0.8047619047619048,0.6673970201577564
0.32,0.7591936897458369,0.8047619047619048,0.670464504820333
0.33,0.7586503067484662,0.8047619047619048,0.7024539877300614
0.34,0.7635056967572306,0.8063492063492064,0.724364592462752
0.35000000000000003,0.7665030674846627,0.8047619047619048,0.738387379491674
0.36,0.7697283085013147,0.8047619047619048,0.766432953549518
0.37,0.7723400525854514,0.8063492063492064,0.7892199824715163
0.38,0.7752322524101666,0.8031746031746032,0.8111305872042068
0.39,0.7777914110429448,0.7952380952380952,0.8273444347063978
0.4,0.7797195442594215,0.7904761904761904,0.845749342681858
0.41000000000000003,0.7803155127081507,0.7888888888888889,0.8676599474145487
0.42,0.7801402278702892,0.7761904761904762,0.8838737949167397
0.43,0.7803505696757231,0.7634920634920634,0.8974583698510079
0.44,0.7797896581945662,0.7412698412698413,0.911042944785276
0.45,0.7756003505696757,0.7206349206349206,0.9233128834355828
0.46,0.7715863277826467,0.7111111111111111,0.9272567922874672
0.47000000000000003,0.7720420683610868,0.6936507936507936,0.9329535495179667
0.48,0.7618755477651182,0.6857142857142857,0.9408413672217353
0.49,0.755863277826468,0.6746031746031746,0.950920245398773
0.5,0.7565819456617003,0.6634920634920635,0.9544259421560035
0.51,0.7545311130587204,0.6476190476190476,0.9535495179666958
0.52,0.7473269062226118,0.638095238095238,0.9544259421560035
0.53,0.7394390885188432,0.6222222222222222,0.9548641542506573
0.54,0.7285539000876424,0.6126984126984127,0.9570552147239264
0.55,0.7269412795793164,0.5968253968253968,0.9566170026292725
0.56,0.7196494303242769,0.5873015873015873,0.957931638913234
0.5700000000000001,0.7119894829097284,0.5777777777777777,0.9588080631025416
0.58,0.7049605609114812,0.573015873015873,0.9592462751971954
0.59,0.6984224364592462,0.5650793650793651,0.9601226993865031
0.6,0.6947940403155127,0.5650793650793651,0.9596844872918493
0.61,0.6902015775635408,0.5650793650793651,0.9601226993865031
0.62,0.6835407537248028,0.5571428571428572,0.962751971954426
0.63,0.678159509202454,0.5555555555555556,0.9623137598597721
0.64,0.6764417177914112,0.553968253968254,0.9631901840490797
0.65,0.6692725679228747,0.5619047619047619,0.9640666082383874
0.66,0.66965819456617,0.5634920634920635,0.9640666082383874
0.67,0.66988606485539,0.5682539682539682,0.964943032427695
0.68,0.6629272567922875,0.5682539682539682,0.9640666082383874
0.6900000000000001,0.6649079754601227,0.573015873015873,0.9645048203330412
0.7000000000000001,0.6631375985977213,0.5746031746031746,0.9640666082383874
0.71,0.6618229623137599,0.5761904761904761,0.9623137598597721
0.72,0.654250657318142,0.5777777777777777,0.9623137598597721
0.73,0.657125328659071,0.5793650793650794,0.9609991235758107
0.74,0.6505346187554777,0.5825396825396826,0.9614373356704645
0.75,0.6521998247151621,0.5857142857142857,0.9623137598597721
0.76,0.6520595968448729,0.5952380952380952,0.9623137598597721
0.77,0.6464504820333042,0.5936507936507937,0.9623137598597721
0.78,0.6516564417177915,0.5936507936507937,0.9588080631025416
0.79,0.6455390008764242,0.5952380952380952,0.9614373356704645
0.8,0.6473970201577564,0.6,0.9601226993865031
0.81,0.6445048203330412,0.6,0.9605609114811569
0.8200000000000001,0.6438212094653812,0.6031746031746031,0.9588080631025416
0.8300000000000001,0.6425591586327782,0.6031746031746031,0.9601226993865031
0.84,0.6468010517090272,0.6095238095238096,0.9605609114811569
0.85,0.642173531989483,0.6095238095238096,0.9623137598597721
0.86,0.6358457493426819,0.6111111111111112,0.9623137598597721
0.87,0.6426117440841368,0.6079365079365079,0.9605609114811569
0.88,0.638036809815951,0.6111111111111112,0.9605609114811569
0.89,0.6367046450482032,0.6095238095238096,0.9614373356704645
0.9,0.6355127081507449,0.6079365079365079,0.9601226993865031
0.91,0.639070990359334,0.6079365079365079,0.9601226993865031
0.92,0.635179666958808,0.6079365079365079,0.9601226993865031
0.93,0.6385100788781771,0.6063492063492063,0.9601226993865031
0.9400000000000001,0.637703768624014,0.6063492063492063,0.9609991235758107
0.9500000000000001,0.6400876424189308,0.6063492063492063,0.9609991235758107
0.96,0.6364943032427695,0.6079365079365079,0.9609991235758107
0.97,0.6373181419807187,0.6079365079365079,0.9614373356704645
0.98,0.6373006134969325,0.6079365079365079,0.9614373356704645
0.99,0.6374934268185801,0.6079365079365079,0.9609991235758107
1.0,0.6341104294478527,0.6079365079365079,0.9609991235758107
